Date,Daily_Demand,Forecast,Error,Absolute_Error,Percentage_Error
2025-05-26,46044,45238.86666666667,805.1333333333314,805.1333333333314,1.7486172646454075
2025-05-27,49835,45180.92888888889,4654.071111111109,4654.071111111109,9.338960792838584
2025-05-28,40715,45335.05985185185,-4620.059851851853,4620.059851851853,11.347316349875605
2025-05-29,51080,45320.228513580245,5759.771486419755,5759.771486419755,11.275981766679239
2025-05-30,51971,45294.36946403292,6676.6305359670805,6676.6305359670805,12.846838690744994
2025-05-31,50428,45380.44844616735,5047.551553832651,5047.551553832651,10.009422451480628
2025-06-01,42745,45518.063394372926,-2773.0633943729263,2773.0633943729263,6.487456765406307
2025-06-02,45042,45387.765507518685,-345.7655075186849,345.7655075186849,0.7676513199207071
2025-06-03,42458,45551.69102443598,-3093.6910244359824,3093.6910244359824,7.286473749201522
2025-06-04,43575,45448.34739191718,-1873.347391917181,1873.347391917181,4.299133429528815
2025-06-05,44852,45387.45897164776,-535.4589716477567,535.4589716477567,1.1938352172651312
2025-06-06,45416,45364.60760403601,51.39239596398693,51.39239596398693,0.11315923014793669
2025-06-07,42233,45165.06119083721,-2932.0611908372084,2932.0611908372084,6.9425832662543705
2025-06-08,47208,45164.12989719847,2043.8701028015275,2043.8701028015275,4.329499455180325
2025-06-09,41882,45227.70089377174,-3345.70089377174,3345.70089377174,7.9883981036525
2025-06-10,42132,45011.2575902308,-2879.2575902308017,2879.2575902308017,6.833897252043107
2025-06-11,46283,44942.6328432385,1340.367156761502,1340.367156761502,2.8960247969265214
2025-06-12,48866,44972.75393801311,3893.246061986887,3893.246061986887,7.967187946602724
2025-06-13,47472,44983.812402613556,2488.1875973864444,2488.1875973864444,5.241379333894599
2025-06-14,54254,44847.40614936733,9406.593850632671,9406.593850632671,17.338065120788645
2025-06-15,41843,44793.01968767958,-2950.0196876795817,2950.0196876795817,7.05021075850102
2025-06-16,56144,44864.75367726889,11279.24632273111,11279.24632273111,20.089851672006105
2025-06-17,44783,44824.67879984453,-41.67879984452884,41.67879984452884,0.09306835148276989
2025-06-18,55393,44563.63475983935,10829.365240160652,10829.365240160652,19.550060910513338
2025-06-19,41609,44416.289251833994,-2807.289251833994,2807.289251833994,6.746831819639968
2025-06-20,50936,44564.098893561786,6371.901106438214,6371.901106438214,12.509622087400293
2025-06-21,36064,44570.50219001385,-8506.502190013853,8506.502190013853,23.587239879142228
2025-06-22,43826,44539.61892968098,-713.6189296809825,713.6189296809825,1.6283003917331778
2025-06-23,44403,44582.272894003676,-179.2728940036759,179.2728940036759,0.403740499524077
2025-06-24,49290,44743.44865713713,4546.551342862869,4546.551342862869,9.224084688299593
2025-06-25,46737,45039.496945708364,1697.5030542916356,1697.5030542916356,3.6320325529914967
2025-06-26,46632,45032.85128834309,1599.1487116569115,1599.1487116569115,3.4292947153390623
2025-06-27,52990,45027.91536832489,7962.084631675112,7962.084631675112,15.025636217541258
2025-06-28,50090,45017.67721887399,5072.322781126008,5072.322781126008,10.126418009834314
