Date,Forecast
2025-12-31,46984.3
2026-01-01,46853.176666666666
2026-01-02,46826.78255555556
2026-01-03,46975.70864074074
2026-01-04,47036.59892876543
2026-01-05,46870.08555972428
2026-01-06,46982.75507838176
2026-01-07,46941.94691432782
2026-01-08,47043.71181147207
2026-01-09,47212.96887185448
2026-01-10,47052.53450091629
2026-01-11,47026.01898428017
2026-01-12,47269.1196170895
2026-01-13,47062.290270992475
2026-01-14,47091.83328002556
2026-01-15,47230.36105602642
2026-01-16,47448.90642456063
2026-01-17,47270.769972045986
2026-01-18,47246.962304447516
2026-01-19,47260.29438126245
2026-01-20,47161.3041939712
2026-01-21,47102.814333770235
2026-01-22,47024.408144895904
2026-01-23,47266.62174972577
2026-01-24,47183.0091413833
2026-01-25,47112.442779429395
2026-01-26,47139.35753874372
2026-01-27,47028.16945670184
2026-01-28,47136.07510525858
2026-01-29,47034.57760876718
